Variable,Diemsion Name,Frequently Used,Paired Event,Description,Example,Notes,DataFeed
eVar,eVar,,,"An eVar is a conversion variable used to identify which dimensions contribute to success events. Unlike props, eVars are persistent, meaning the value remains available beyond the hit it was set on, based on the configured expiration setting.

eVars are primarily used to attribute conversion events to earlier user interactions. This makes them essential for understanding the customer journey and evaluating the impact of marketing efforts or content engagement.",-,"eVars have a 255-byte limit in reports. 
Adobe supports up to 250 eVars.

*key Characteristics:
- Persistent across hits (Expire after visit)
- Tied to success events for attribution
- Suitable for conversion funnel and path analysis",
eVar1,Site Code (v1),Yes,Site Code (v1) Instances,"Site Code (v1) collects the first-depth Site Code information every time a page is loaded. This Site Code represents the primary categorization of the webpage, helping to identify which website the user is visiting.

Since both Web and App data, as well as B2C and B2B data, are being ingested into a single Report Suite, this dimension serves as a key reference for distinguishing data by platform and business type.","eVar1=""uk""
eVar1=""uk-app""
eVar1=""uk-smb""
eVar1=""uk-smb-app""
eVar1=""uk-epp""
eVar1=""uk-epp-app""","SMB: Pages with the URL pattern shop.samsung.com/uk/business/.

EPP: Pages with URLs like www.samsung.com/uk/multistore/ or shop.samsung.com/uk/multistore/.

The rest of pages including samsung.com/uk and samsung.com/uk/business are classified as B2C data and will be displayed under the 'uk' site code.",post_evar1
eVar2,Site Top Navigation (v2),No,Site Top Navigation (v2) Instances,"Site Top Navigation (v2) collects the 2nd-level site section, typically indicating the top-level category of the website. This value is collected when each page is loaded and helps classify which major content area (e.g., Mobile, TV, Home Appliances) the user is browsing. 
*This variable is not generated for native app pages without URLs.","eVar2=""uk:home""
eVar2=""uk:mobile""
eVar2=""uk:television""
eVar2=""uk:shop""
eVar2=""uk:mypage""",-,post_evar2
eVar3,Third Level Site Section (v3),No,Third Level Site Section (v3) Instances,"Third Level Site Section (v3) collects the 3rd-level site section, indicating a sub-category within the top-level category. It gives more granular information about the user's browsing path. 
*This variable is not generated for native app pages without URLs.","eVar3=""uk:mobile:smartphones""
eVar3=""uk:mobile:watches""
eVar3=""uk:mobile:mobile accessories""
eVar3=""uk:television:tvs""
eVar3=""uk:shop:cart""",-,post_evar3
eVar4,Fourth Level Site Section (v4),No,Fourth Level Site Section (v4) Instances,"Fourth Level Site Section (v4) collects the 4th-level site section, usually reflecting a product series or brand line within a sub-category.
*This variable is not generated for native app pages without URLs.","eVar4=""uk:mobile:smartphones:galaxy s""
eVar4=""uk:mobile:watches:finder""
eVar4=""uk:mobile:watches:galaxy fit""
eVar4=""uk:television:tvs:uhd 4k tv""
eVar4=""uk:display:monitors:gaming""",-,post_evar4
eVar5,Fifth Level Site Section (v5),No,Fifth Level Site Section (v5) Instances,"Fifth Level Site Section (v5) records the fifth-level site section, representing the most detailed breakdown of site navigation. It is often used for tracking very specific content, such as a product variant page or a subcategory within a fourth-level section.
*This variable is not generated for native app pages without URLs.","eVar5=""uk:mobile:smartphones:galaxy s:galaxy-s25""
eVar5=""uk:mobile:smartphones:galaxy s:galaxy-s25-ultra""
eVar5=""uk:mobile:watches:galaxy watch:galaxy-watch7""
eVar5=""uk:mobile:rings:galaxy ring:galaxy-ring""
eVar5=""uk:computers:computers:galaxy book:galaxy-book5-pro""",-,post_evar5
eVar6,All Page Track (v6),Yes,All Page Track (v6) Instances,"All Page Track (v6) categorizes each page into a specific page type, such as Home, Product Detail, Cart, etc. This classification enables analysts to segment traffic and user actions by the type of page being viewed.","eVar6=""home""
eVar6=""product family showcase""
eVar6=""product detail""
eVar6=""flagship pdp""
eVar6=""shop cart""",-,post_evar6
eVar7,Internal Promotion Content (v7),No,Internal Promotion Content (v7) Instances,"Collects click action data for Shop Home KV, Banner, Event Banners click
Used in both web and mobile app. 
If data collects in app, 'app' is added as a prefix. ","eVar7=""br_offer banner_page1_no1""
eVar7=""fr_offer banner_page1_no7""
eVar7=""ca shop_home_kv1_ shop now""
eVar7=""ru shop_home_contents_image_buy now""
eVar7=""th_offer_kv1_CE Mode_link_20200416""",-,post_evar7
eVar8,Product Category (v8),No,Product Category (v8) Instances,"Product Category (v8) classifies each product-related page into a high-level product category, such as Mobile, TV, or Home Appliances. The value is determined based on the second-level depth of the page name at the time the page is loaded.","eVar8=""mobile""
eVar8=""tv""
eVar8=""home appliances""
eVar8=""it""
eVar8=""memory and storage""",-,post_evar8
eVar9,disabled,-,-,-,-,-,-
eVar10,disabled,-,-,-,-,-,-
eVar11,PVI Product Type (v11),Yes,PVI Product Type (v11) Instances,"PVI Product Type (v11) collects the high-level product category based on the PVI  classification. In cases where multiple products are purchased in a single order, they are generated as a comma-separated list","eVar11=""Mobile""
eVar11=""TV""
eVar11=""Refrigerator""

# Purchase event with multiple products
eVar11=""mobile,mobile,shop program""",-,post_evar11
eVar12,PVI Product Sub-type (v12),Yes,PVI Product Sub-type (v12) Instances,"PVI Product Sub-type (v12) collects the sub-category of the PVI Product Type for a more granular classification of products. In cases where multiple products are purchased in a single order, they are generated as a comma-separated list","eVar12=""Smartphone""
eVar12=""QLED""
eVar12=""Top Freezer""

# Purchase event with multiple products
eVar12=""smartphone,wearable,trade-in""",-,post_evar12
eVar13,PIM Product Sub-type (v13),Yes,PIM Product Sub-type (v13) Instances,"PIM Product Sub-type (v13) collects the sub-category information from the PIM system. In cases where multiple products are purchased in a single order, they are generated as a comma-separated list
*PIM: Product Information Management
","eVar13=""galaxy s""
eVar13=""qled tv""
eVar13=""top mount freezer""

# Purchase event with multiple products
eVar13=""galaxy s,galaxy buds,trade-in""",-,post_evar13
eVar14,disabled,-,-,-,-,-,-
eVar15,Display Name (v15),Yes,Display Name (v15) Instances,"Display Name (v15) collects the exact product name as displayed on the Product Detail Page. The Display Name may be shown in the local language. In cases where multiple products are purchased in a single order, they are generated as a semicolon-separated list.","eVar15=“Galaxy Watch Ultra LTE (47mm)”
eVar15=“65” Neo QLED 4K QN90D Smart AI TV (2025)”

# Purchase event with multiple products
eVar15=“galaxy s25 (samsung.com only);galaxy buds3""",-,post_evar15
eVar16,Video Name (v16),No,"Video Views (e15)
Video Completes (e16)",Collects Video Caption,"eVar16=""prd^sph^detail^s20^highlights:meet-galaxy-s20:video:play:expert-review-highlights""",-,post_evar16
eVar17,Video Segments (v17),No,"Video Views (e15)
Video Completes (e16)",Automatic Tracking with Video Code,"eVar17=""1:M:0-25""",-,post_evar17
eVar18,Site Section (v18),Yes,Site Section (v18) Instances,"Site Section (v18) collects traffic data by section, where a section represents the highest level of categorization of Samsung.com pages.","eVar18=“home”  -> Home page section
eVar18=“explore” ->  Explore section 
eVar18=“consumer” → Product-related pages (includes PFS, PCD, PF, and PD)
eVar18=""campaign""→ Campaign landing pages
eVar18=""shop"" → Samsung.com Shop section (for e-commerce, excluding AEM pages)",-,post_evar18
eVar19,Video Embedded URL (v19),No,"Video Views (e15)
Video Completes (e16)",Automatic Tracking with Video Code,"eVar19=""https://my.samsung.fr/""",-,post_evar19
eVar20,Video Referrer (v20),No,"Video Views (e15)
Video Completes (e16)",Automatic Tracking with Video Code,"eVar20=""https://www.samsung.com/fr/offer/l-efficacite-au-quotidien/""",-,post_evar20
eVar21,Site Search (v21),Yes,Site Search (e21),"Site Search (v21) collects site search keywords that users enter into the Samsung.com search bar and receive at least one result.
*Triggered via action tracking after the search results page is loaded.","eVar21=“<searched keyword>” 
eVar21 = ""galaxy s25 ultra""
eVar21 = ""gaming monitor""
eVar21 = ""repair""
eVar21 = ""tablet""
eVar21 = ""fast charger""",-,post_evar21
eVar22,Store Locator (v22),No,Store Locator (e22),"Store Locator (v22) collects data related to user interactions within the store locator tool, including successful store search keywords (i.e., searches that return at least one result).","eVar22=“locator”
eVar22=“filter:distance:1mile”
eVar22=“store detail view:samsung three london”
eVar22=“store detail view:samsung three london:email”
eVar22=""keyword:Warszawa""",-,post_evar22
eVar23,Support Search (v23),No,Support Search (e23),Collects support search keywords which have search result,"eVar23 =“<all page track>:<keyword>”
eVar23=“suppoart main:galaxy” ",-,post_evar23
eVar24,Service Locator Search (v24),No,Service Locator Search (e24),Collects click action data triggered in support service locator page and also collect service locator search keywords which have search result,"eVar24=“tab:mobile devices”
eVar24=“distance:100km”
eVar24=“back to list”
eVar24=“tab:home appliances_laundry”
eVar24=""keyword:hyderabad""",-,post_evar24
eVar25,Product Click (v25),No,Product Click (e25),"Product Click (v25) captures click actions that lead users to the Product Detail Page (PDP). This is specifically used on dynamic modules such as Product Finder (PF), Product Display (PD), Offers, Product Comparison, and Recently Viewed Products.","eVar25=""pf product card:image click""
eVar25=“pd buying tool:learn more click”
eVar25=“how it stacks up:image click”
eVar25=“recently viewed:product click”",-,post_evar25
eVar26,Content Click (v26),Yes,Content Click (e26),"Content Click (v26) is used to capture user interactions with non-product-specific content elements. This includes clicks on buttons, text links, videos, and banner modules, but excludes clicks that lead directly to Product Detail Pages (those are tracked in eVar25).","eVar26=“category slider1:refrigerators”
eVar26=“get connected, get closer to your family:see all refrigerators”
eVar26=“galaxy s25 ultra 5g:learn more”
eVar26=“how it stacks up:galaxy a80”",-,post_evar26
