Variable,Metric Name,Frequently Used,Description,Notes,DataFeed,DataFeed Notes
Event,Event,,A success event is a metric used to measure when a user completes a specific goal or valuable action on your site. These events represent conversions and are essential for evaluating the performance of your digital properties.,"*Key Characteristics:
- Goal-based: Events are tracked when users complete key actions aligned with business objectives.
- Used with eVars: Events are typically attributed to eVars to understand which values influenced the conversion.",,
event1,disabled,-,-,-,-,-
event2,Hamburger Menu - Search bar Click (e2),No,Counts each Search bar click calls in hamburger menu,"Pairing with prop7
Created : 24. 11. 15",post_event_list,Use event.tsv to match numeric values with custom event 2.
event3,GNB Navigation Link Click (e3) ,No,Collects click action data for GNB menus ,-,post_event_list,Use event.tsv to match numeric values with custom event 3.
event4,Footer Link Click (e4),No,Collects click action data for Footer menus,-,post_event_list,Use event.tsv to match numeric values with custom event 4.
event5,Banner Slide Click / Swipe (e5),No,"Collects minor click action data such as arrow, indicator, pagination, swipe",-,post_event_list,Use event.tsv to match numeric values with custom event 5.
event6,eCommerce - La Caixa Duplicated (e6),No,"Used for ES La caixa payment which is created to build calculated metric (duplication removed actual order) 
This event collects duplicated order count ","Specific RS Only: ES, TEST",post_event_list,Use event.tsv to match numeric values with custom event 6.
event7,eCommerce - Failed Order (e7),No,Used for ES La caixa payment which counts failed order,"Specific RS Only: ES, TEST",post_event_list,Use event.tsv to match numeric values with custom event 7.
event8,eCommerce - Failed Units (e8),No,ES La caixa payment which counts failed order unit,"Specific RS Only: ES, TEST",post_event_list,Use event.tsv to match numeric values with custom event 8.
event9,eCommerce - Failed Revenue (e9),No,ES La caixa payment which counts failed order revenue,"Specific RS Only: ES, TEST",post_event_list,Use event.tsv to match numeric values with custom event 9.
event10,eCommerce - Approval Request (e10),No,Used for ES La caixa payment which counts the initial approval request when payment submission is sent to La Caixa,"Specific RS Only: ES, TEST",post_event_list,Use event.tsv to match numeric values with custom event 10.
event11,Seach Result Click (e11),No,Counts click events for Seach result page contents,-,post_event_list,Use event.tsv to match numeric values with custom event 11.
event12,eCommerce - Payment Success (e12),No,Collects the data of OTP verification success during checkout process,-,post_event_list,Use event.tsv to match numeric values with custom event 12.
event13,eCommerce - Payment Failure (e13),No,Collects the data of OTP verification fail during checkout process,-,post_event_list,Use event.tsv to match numeric values with custom event 13.
event14,Video Time (e14),No,Automatic Tracking with Video Code,-,post_event_list,Use event.tsv to match numeric values with custom event 14.
event15,Video Views (e15),No,Counts the number of video views,Pairing with Video Name (v16),post_event_list,Use event.tsv to match numeric values with custom event 15.
event16,Video Completes (e16),No,Counts the number of video view completion,Pairing with Video Name (v16),post_event_list,Use event.tsv to match numeric values with custom event 16.
event17,Video Segment Views (e17),No,Automatic Tracking with Video Code,Technically cannot track MP4,post_event_list,Use event.tsv to match numeric values with custom event 17.
event18,Video Milestones (25%) (e18),No,Automatic Tracking with Video Code,-,post_event_list,Use event.tsv to match numeric values with custom event 18.
event19,Video Milestones (50%) (e19),No,Automatic Tracking with Video Code,-,post_event_list,Use event.tsv to match numeric values with custom event 19.
event20,Video Milestones (75%) (e20),No,Automatic Tracking with Video Code,-,post_event_list,Use event.tsv to match numeric values with custom event 20.
event21,Site Search (e21),Yes,This metric counts how often the search function is used within the site or app. It is captured when the search results page is loaded.,"Pairing with evar21, prop21 to identify which keywords were searched",post_event_list,Use event.tsv to match numeric values with custom event 21.
event22,Store Locator (e22),No,Counts store locator CTA click and action triggered in store loactor page,"pairing with evar22, prop22",post_event_list,Use event.tsv to match numeric values with custom event 22.
event23,Support Search (e23),No,Counts support search action,"pairing with evar23, prop23
This event is fired when search result page is loaded",post_event_list,Use event.tsv to match numeric values with custom event 23.
event24,Service Locator Search (e24),No,Counts Service Locator Search and Click action,"pairing with evar24, prop24",post_event_list,Use event.tsv to match numeric values with custom event 24.
event25,Product Click (e25),No,"Counts click action which lead to PDP in dynamic page such as PF, PD, etc.",Paring with evar25,post_event_list,Use event.tsv to match numeric values with custom event 25.
event26,Content Click (e26),Yes,"Content Click (e26) is used to capture user interactions with non-product-specific content elements. This includes clicks on buttons, text links, videos, and banner modules.",Pairing with evar26,post_event_list,Use event.tsv to match numeric values with custom event 26.
event27,Gallery (e27),No,Counts various interaction data of gallery area,Pairing with evar27,post_event_list,Use event.tsv to match numeric values with custom event 27.
event28,Compare (e28),No,Counts click action for compare feature ,Pairing with evar28,post_event_list,Use event.tsv to match numeric values with custom event 28.
event29,Social Share (e29),No,Counts  social share / follow click action when social network icon is clicked,Pairing with evar29,post_event_list,Use event.tsv to match numeric values with custom event 29.
event30,Request Submit (e30),No,Counts various types of request submit button click such as support FAQ and floating chat satisfaction survey submit buttons,Pairing with evar30,post_event_list,Use event.tsv to match numeric values with custom event 30.
event31,Account (e31),Yes,"Account (e31) is used to collect interaction data related to user account activities. This includes actions taken within account-related pages or account-specific menus, such as login/logout or interactions with the wishlist.
*After a successful login, the action tracking call is triggered once the page has loaded.",Pairing with evar31,post_event_list,Use event.tsv to match numeric values with custom event 31.
event32,Download (e32),No,Counts number of file download action,Pairing with evar32,post_event_list,Use event.tsv to match numeric values with custom event 32.
event33,Download-B2B (e33),No,Counts number of file download action in B2B pages,Pairing with evar32,post_event_list,Use event.tsv to match numeric values with custom event 33.
event34,Support contents (e34),No,Counts click action for support contents and features ,Pairing with evar34,post_event_list,Use event.tsv to match numeric values with custom event 34.
event35,Purchase Intention (e35),Yes,"Purchase Intention (e35) is used to track user intent to purchase by capturing click actions related to buying activities(where to buy, buy now, online retailer, stock alerts, etc.).","Pairing with evar35
Pairing with evar35 and event55 for online retailer click action",post_event_list,Use event.tsv to match numeric values with custom event 35.
event36,eCommerce- RETURN Count(e36),No,Counts product (single & multiple products) Return,-,post_event_list,Use event.tsv to match numeric values with custom event 36.
event37,eCommerce- RETURN Revenue (e37),No,Collects product (single & multiple products) Returned revenue,-,post_event_list,Use event.tsv to match numeric values with custom event 37.
event38,eCommerce- RETURN Q'ty (e38),No,Tracks product (single & multiple products) Returned Unit,-,post_event_list,Use event.tsv to match numeric values with custom event 38.
event39,eCommerce- CANCEL Count (e39),No,Counts product (single & multiple products) order cancellation,-,post_event_list,Use event.tsv to match numeric values with custom event 39.
event40,eCommerce- CANCEL Revenue (e40),No,Collects product (single & multiple products) order cancelled revenue,-,post_event_list,Use event.tsv to match numeric values with custom event 40.
event41,eCommerce- CANCEL Q'ty (e41),No,Tracks Product (single & multiple products) order cancelled unit,-,post_event_list,Use event.tsv to match numeric values with custom event 41.
event42,disabled,-,-,-,-,-
event43,disabled,-,-,-,-,-
event44,Filter and Sort (e44),Yes,Filter and Sort (e44) is used to collect user interaction data related to filtering and sorting functions on product listing or search result pages.,Pairing with evar44,post_event_list,Use event.tsv to match numeric values with custom event 44.
event45,Microsite (e45),Yes,Microsite (e45) is used to capture user interaction data specifically within microsites and locally developed campaign pages.,Pairing with evar33,post_event_list,Use event.tsv to match numeric values with custom event 45.
event46,Scroll (e46),Yes,"Scroll (e46) is used to track scroll depth as users scroll down the page. This variable helps identify how far users engage with the content vertically. ""scroll:100"" is not triggered if the footer is visible without scrolling.
*Product Detail: 25,50,75,100
*Flagship pdp(mkt page): 3,5,7,10,20,...,100
*Other page(Home, Flagship Buy, PF,...): 100",Pairing with evar46,post_event_list,Use event.tsv to match numeric values with custom event 46.
event47,B2B Search (e47),No,Counts B2B search action,"Pairing with evar47, prop45",post_event_list,Use event.tsv to match numeric values with custom event 47.
event48,Home Content Click (e48),Yes,Home Content Click (e48) is used to capture click interactions on home page content modules. This variable is specifically scoped to homepage elements only.  It helps measure engagement with key content elements surfaced on the homepage.,Pairing with evar48,post_event_list,Use event.tsv to match numeric values with custom event 48.
event49,Downloaded file (e49),No,Counts the number of files being downloaded,"Created : 25. 03. 31
Specific RS Only: EBDC",post_event_list,Use event.tsv to match numeric values with custom event 49.
event50,Undefined,-,-,-,-,-
event51,Trade-in Discount (e51),No,"Collects the discount price by applying trade-in option in GPv2, P5 Hybris platforms",Created : 19. 07. 19,post_event_list,Use event.tsv to match numeric values with custom event 51.
event52,List Price (Add to Cart) (e52),Yes,"Collects the list price of product when a product is added in the cart page.
event52 is unit price times quantity. For instance, If you add one unit of SM-M105 ($100) to cart, event52 will be $100, and event 52 will be $200 if you add two units of SM-M105 at the same time.",Created : 19. 01. 23,post_event_list,Use event.tsv to match numeric values with custom event 52.
event53,List Price (Order) (e53),No,"Collects the list price of product when the order process is completed 
event53 is unit price times quantity. For instance, If you purchase one unit of SM-M105 for $100, event53 will be $100, and event 53 will be $200 if you purchase two.",-,post_event_list,Use event.tsv to match numeric values with custom event 53.
event54,B2B contents (e54),No,Counts click action for B2B content and features ,Pairing with evar45,post_event_list,Use event.tsv to match numeric values with custom event 54.
event55,Buy Online Retailer (e55),No,Counts click action for online retailer links,Pairing with event35 and evar35,post_event_list,Use event.tsv to match numeric values with custom event 55.
event56,Email Sent (e56),No,Used for CIS & LATAM Region Campaign - AA integration which is triggered when the email is sent ,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 56.
event57,Email Open (e57),No,Used for CIS & LATAM Region Campaign - AA integration which is triggered when the email is opened,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 57.
event58,Selling Price (Add to Cart) (e58),Yes,"Collects the selling price of product, which is the price after giving a discount, when a product is added in the cart page.
event58 is selling price times quantity. For instance, If you add one unit of SM-M105 ($80) to cart, event58 will be $80, and event58 will be $160 if you add two units of SM-M105 at the same time.",Created : 20. 11. 11,post_event_list,Use event.tsv to match numeric values with custom event 58.
event59,Email Clicked (e59),No,Used for  CIS & LATAM Region Campaign - AA integration which counts the total number of email clicks ,"Specific RS Only: JP, CIS & LATAM (RU, KZ_RU, KZ_KZ, UA, UA_RU, UZ, UZ_RU, AR, PY, UY, BR, CL, CO, LATIN, LATIN_EN, PE, MX), MST, MST(dev), TEST",post_event_list,Use event.tsv to match numeric values with custom event 59.
